# Copyright (C) 2022  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 22.1std.0 Build 915 10/25/2022 SC Lite Edition
# File: /home/ipontes3olavy/first_quadrimester/digital_laboratory/exps/05/quartus/circuito_jogo_base.csv
# Generated on: Mon Feb 13 17:20:23 2023

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
botoes[3],Input,PIN_P19,5A,B5A_N0,PIN_P19,2.5 V,,,,,,,,,,,,,
botoes[2],Input,PIN_N19,5B,B5B_N0,PIN_N19,2.5 V,,,,,,,,,,,,,
botoes[1],Input,PIN_T22,5A,B5A_N0,PIN_T22,2.5 V,,,,,,,,,,,,,
botoes[0],Input,PIN_R22,5A,B5A_N0,PIN_R22,2.5 V,,,,,,,,,,,,,
clock,Input,PIN_N16,5B,B5B_N0,PIN_N16,2.5 V,,,,,,,,,,,,,
db_clock,Output,PIN_AA2,2A,B2A_N0,PIN_AA2,2.5 V,,,,,,,,,,,,,
db_contagem[6],Output,PIN_AA22,4A,B4A_N0,PIN_AA22,2.5 V,,,,,,,,,,,,,
db_contagem[5],Output,PIN_Y21,4A,B4A_N0,PIN_Y21,2.5 V,,,,,,,,,,,,,
db_contagem[4],Output,PIN_Y22,4A,B4A_N0,PIN_Y22,2.5 V,,,,,,,,,,,,,
db_contagem[3],Output,PIN_W21,4A,B4A_N0,PIN_W21,2.5 V,,,,,,,,,,,,,
db_contagem[2],Output,PIN_W22,4A,B4A_N0,PIN_W22,2.5 V,,,,,,,,,,,,,
db_contagem[1],Output,PIN_V21,4A,B4A_N0,PIN_V21,2.5 V,,,,,,,,,,,,,
db_contagem[0],Output,PIN_U21,4A,B4A_N0,PIN_U21,2.5 V,,,,,,,,,,,,,
db_enderecoIgualRodada,Output,PIN_Y3,2A,B2A_N0,PIN_Y3,2.5 V,,,,,,,,,,,,,
db_estado[6],Output,PIN_W19,4A,B4A_N0,PIN_W19,2.5 V,,,,,,,,,,,,,
db_estado[5],Output,PIN_C2,2A,B2A_N0,PIN_C2,2.5 V,,,,,,,,,,,,,
db_estado[4],Output,PIN_C1,2A,B2A_N0,PIN_C1,2.5 V,,,,,,,,,,,,,
db_estado[3],Output,PIN_P14,4A,B4A_N0,PIN_P14,2.5 V,,,,,,,,,,,,,
db_estado[2],Output,PIN_T14,4A,B4A_N0,PIN_T14,2.5 V,,,,,,,,,,,,,
db_estado[1],Output,PIN_M8,3B,B3B_N0,PIN_M8,2.5 V,,,,,,,,,,,,,
db_estado[0],Output,PIN_N9,3B,B3B_N0,PIN_N9,2.5 V,,,,,,,,,,,,,
db_jogada_correta,Output,PIN_W2,2A,B2A_N0,PIN_W2,2.5 V,,,,,,,,,,,,,
db_jogada_feita[6],Output,PIN_AB21,4A,B4A_N0,PIN_AB21,2.5 V,,,,,,,,,,,,,
db_jogada_feita[5],Output,PIN_AB22,4A,B4A_N0,PIN_AB22,2.5 V,,,,,,,,,,,,,
db_jogada_feita[4],Output,PIN_V14,4A,B4A_N0,PIN_V14,2.5 V,,,,,,,,,,,,,
db_jogada_feita[3],Output,PIN_Y14,4A,B4A_N0,PIN_Y14,2.5 V,,,,,,,,,,,,,
db_jogada_feita[2],Output,PIN_AA10,3B,B3B_N0,PIN_AA10,2.5 V,,,,,,,,,,,,,
db_jogada_feita[1],Output,PIN_AB17,4A,B4A_N0,PIN_AB17,2.5 V,,,,,,,,,,,,,
db_jogada_feita[0],Output,PIN_Y19,4A,B4A_N0,PIN_Y19,2.5 V,,,,,,,,,,,,,
db_memoria[6],Output,PIN_U22,4A,B4A_N0,PIN_U22,2.5 V,,,,,,,,,,,,,
db_memoria[5],Output,PIN_AA17,4A,B4A_N0,PIN_AA17,2.5 V,,,,,,,,,,,,,
